topic_num	topic_size	topic_words	theme_label	Notes	theme_label_short
10	240	juffrouw kamenierster onderrokken rijtuig lijfknecht chaperonne mousselinen onderrok hutkoffer zijtafel ontbijtkamer waskom omslagdoek naaiwerk postkoets armenhuis schortzak wagenwiel valie reverence laudanum japonnen verandatrap halsdoek haarlint handschoenen petticoats abigail gouvernante silas eeltig bediend zakhorloge verstelwerk dienstmeisje paardenhoef japon verzachtten nathaniel william kleermaakster naaimand damesachtig provisiekamer allemens hoedendoos reinhold hollow quilt kinderjuffrouw	history		history
11	233	perfectionistisch bewuster burn-out perfectionisme stress triggeren denkpatroon stressvol jezelf ervaar faalangst positiviteit overprikkelen focussen doorbrijken zelfacceptatie zelfzorg vicieus valkuil gedachtepatronen ingesleten zelfontwikkeling comfortzone vermijdingsgedrag uitstelgedrag pleasen oplossingsgericht stresten zelfbeeld stressniveau zelfwaardering slachtofferrol negativiteit stresssituatie behapbaar keuzes focus gestrest stressfactoren mentaal zelfinzicht eigenwaarde werksituatie stappenplan zelfreflectie overlevingsmechanisme eyeopener acceptatie prestatiedruk stressreactie	behaviours/feelings;medicine/health;economy and work		behaviours / feelings;medicine / health;economy & work
12	231	supergroot wiebellen pfff juf tsss ieuw joehoe superlief hèhè eng superleuk doei lievelingsdier giechelten allerleuk haha poepen kriebelen kietellen roetsjtten galten cavium geks supergoed brrr opa kinderboerderij aanfietsen stuiterbal papa superblij knipogen pssst ssst huh knakworst supercool psst knorten zwemdiploma opa’s juffen rara verstoppertje gister beteuterd trampoline konijnenhok rondjes gekkie	behaviours/feelings;family		behaviours / feelings;family
13	216	voedingswaarde eiwit eiwitrijk ingrediënt plantaardig ml koolhydraten eetlepel bereiding voedingsmiddel zonnebloemolie quinoa glutenvrij kokosolie bladgroenten vezelrijk smaakmaker voeding kurkuma sesamzaad zeezout avocado voedingsstof groente citroensap yoghurt theelepel voedingspatroon broccoli peulvrucht portie olijfolie kokosmelk zuivel lijnzaad avocadop vetarm recept antioxidant calorieen binnenkrijgen rauwkost pureren kikkererwten zetmeel pompoenpit sojasaus dieet voedingsdeskundig spijsvertering	medicine/health;lifestyle and sport		medicine / health;lifestyle & sport
14	212	charing gloucestershire hampstead theetijd edwardiaans victoriaans marylebone verduisteringsgordijn mary’s surrey paddington lady primrose hemeltjelief cottage knightsbridge bristol londenaar piccadilly terrace dorset ontbijtkamer erkerraam devonshire noord-londen georgiaans euston theeblad eton shepherd’s king’s zitkamer cotswolds fulham elizabethaans wiltshire cricketwedstrijd road harrods londens chintz peggy midlands zuid-londen lancashire shilling phyllis bekakken pub downs	culture		culture
15	209	ego afgescheidenheid heelheid gedachtepatronen negativiteit bewustzijnsniveau bewustwording zelfacceptatie projectie essentie dualiteit erken zelfgevoel helingsproces spiritueel hier-en-nu illusoir ervaar acceptatie manifesteren zelfbesef projecteren voortkommen transformeren onbegrensd geconditioneerd gehechtheid conditionering doorvoelen heling levenssituatie intentie onwaardigheid compleetheid vereenzelviging denkpatroon blokkades onvoorwaardelijk creeren transformatieproces zelfliefde verruimen zelfonderzoek binnenwereld karmisch geloofssysteem energetisch scheppingskracht bewuster onderkennen	religion, spirituality and philosophy		reli. / spirit. / phil.
16	204	rue gendarmerie gendarme stéphane parijzenaar quai romain julien arrondissement léon françoise rouen saint-michel toulouse seine camille montmartre pastis émile montparnasse saint-germain georges antoine franc champs-elysées nicolas opéra prefectuur boezemmen école marché hôtel cité philippe mme caféterras lyon amélie banaal française le madame gare faubourg parijs île alexandre eender brasserie koelbloedigheid	culture		culture
17	204	filosoof filosofisch kants metafysica filosofie metafysisch vooronderstellen dialectiek heidegger hegel existentie denker ontologisch aristotelisch hoofdwerk subjectiviteit nietzsche ethiek derrida lout aristoteles nietzsches arendt oordeelsvermogen notie aristoteles’ negatie rationaliteit schopenhauer evidentie these plato immanuel veeleer dialectisch fenomenologie paradoxaal noties relativisme scepticisme fenomenologisch subject plato’s cartesiaans abstraheren universaliteit existeren noodzakelijkheid filosofe transcendentaal	religion, spirituality and philosophy		reli. / spirit. / phil.
18	194	verwensen geamuseerdheid pretlichtje geamuseerd vaneen verdorie verdraaid achterovergeleund verdorien hartstocht verkrampten vederlicht omhoogglijden zelfbeheersing adert verleidelijk opwelling voldaan onderwijl hm-m omklemden tory onweerstaanbaar schouderophalen gefrustreerd verliggen niëten venden liefkoozden dineetje ontoeschietelijk achteloos vaagjes vingertopen bezitterig lachje overreden verleidingspoging roomblank teder ariel sensueel verbluft liefkozing ongekunsteld hartgrondig begeerte voldane tederheid liefkiezen	behaviours/feelings		behaviours / feelings
19	193	sussex zuid-londen brigadier brighton halfvrijstaand hoofdagent moordslachtoffer politielint delict hoofdinspecteur moordonderzoek bewijszak parkeerhaven politietape hove camerabeeld henley inspecteur patholoog politieart vermissen yorkshire nightingale pub forensisch leeds bewakingscamera’s road politiemens straatagent eruitzag cardiff branson noord-londen recherche chipszak surrey verdomm korrelig essex pubs buurtonderzoek bruikbaars politieman afzetlint jaloezieën banks kille zware bewakingscamera	crime		crime
20	179	jeneverfles amechtig potsierlijk overtoom tweehoog onverhoeds kokosmat lazeren weeë loeren driehoog leidseplein jenever wijdbeens beloeren bovenhuis gummi schemer vliesdun benedenburen leidsestraat subiet sjoege schielijk koekeloeren ruggelings buikig lispelen allengs godgans uitslaan schonkig knook benedenhuis lillen onooglijk stulpen precieus tongpunt onbestemd verveloos bijkans shag bromfiet brilleglaas schel eender bagagedrager floer vondelpark	geography and setting;behaviours/feelings	doet me aande Koningsdag denken of aan kroegentochten	geography & setting;behaviours / feelings
21	176	katy bloomington ashley bijbelvers baileys footballwedstrijd bailey cody baxter basketbalwedstrijd indianapolis cole indiana devin paparazzi footballteam brandon matthews footballveld footballspeler bijden brooke welden bijbelverzen thanksgiving tanner luke verflauwen reagan rhonda schoolbal basketbalteam kerkzaal hanover ziekenhuiskamer clear lukes onafhankelijkheidsdag schommelbank ryans maddie sniffen zuid-californië bethany kneepje jims quarterback beth klop honkbalwedstrijd	lifestyle and sport		lifestyle & sport
22	171	gsm flik stilaan onderzoeksrechter parking plots komaan onnozelaar knokke nochtans janssens contacteren euh mechels miserie recupereren vastnemen monkelen zaventem verwittigen ontgoochelen politiekantoor vervolledigen proficiat nazinderen rijkswacht verstomming sukkelaar zopas overschouwen voormiddag west-vlaams antwerps klasseren combi zogoed anderendaags goesting kot lichtjes apprecieren deurgat procureur appreciëren mechelen onbestaand eenzaat appartementsgebouw west-vlaanderen allez	crime;culture	Vlaams	crime;culture
23	158	newark jersey connecticut heights yorks manhattan queens harlem yorkse maine hampshire yorkers westchester avenue coney lachwekkend broadway stompzinnig updike brooklyn midden-westen vermont midwesten vagelijk romanschrijver volslagen monologen iowa riverside voorstedelijk upper midwest komisch welbeschouwd ferguson kerouac yorker lexington hebbelijkheid geestig banaal nyu ymca ongerijmd gatsby columbia mailer stompzinnigheid pittsburgh east	culture;geography and setting		culture;geography & setting
24	154	willi zomersproeten pfennig hamburgs werner augsburg georg katharina mine morten maja dodo karl terrasdeur birgit philipp eberhard heinrich domenico neuswortel huisdeur corinne uitgerekend hamburg sebastian inspannend otto maries oorvijg sankt winkler berlijner klaus handrug handbeweging franz lichtkegel demonstratief johann voorzichtigheidshalf von elvira manfred neuzelen besluiteloos susanne ernst vertwijfelen regensburg toni	other	veel namen, en met combinatie met andere woorden zeggen ze me niet veel, eerlijk gezegd	other
25	151	zweterig getver piepklein eruitzagen bobbelig maff eruitzag vastplakken gênant plakkerig eruitzengen cornflake badkamerspiegel proppen felroos badkamervloer rubberachtig piepschuim pluizig opkrullen fluoresceren kleermakerszit jezusmina maf bovenmaats babyblauw vlekkerig thanksgiving wc regenboogkleurig dichtdoen allebei teennagel pyjamabroek kreukelig donzig sukkelig uitlubberen maine vastlijmen rubberen papierachtig grappigs schoolbus halloween geschiffen kartonnen midden-westen elastiekje urenlang	culture;family	ik zou zeggen dat het iets te maken heeft met familieleven of zo	culture;family
26	144	vittorio giuseppe margherita carabinieri lire giacomo giulio signora pietro veneto francesco napolitaans ciao turijn corso milanees umberto signor via piero piazza milaan massimo bologna vincenzo napels grappa salvatore delle cesare siciliaanse italiaans venezia calabrië federico stefano lorenzo signore luisa giorgio palermo giovanni palazzo caffè di enrico sandro matteo degli bari	geography and setting;culture		geography & setting;culture
27	142	vvd pvda d66 cda kamerlid fractievoorzitter groenlinks verkiezingsprogramma rutte pvv kamerdebat kamerverkiezing bewindsman fractieleider lijsttrekker balkenende kamer_lid ministerschap kabinet bolkestein achterban regeringspartij oud-minister partijpolitiek partijvoorzitter debat gemeenteraadsverkiezing electoraal politicus mierlo partijgen staatssecretaris parlementair partijgenote uyl wilders oppositiepartij staatsrechtelijk poldermodel agenderen partijleider kiezer coalitie verkiezingstijd vicepremier algemene fortuyn regeringsbeleid lubbers populistisch	politics		politics
28	138	uitstelgedrag flow multitasking multitasken productief focussen probleemoplossen langetermijndoel to-dolijst productiviteit deadline focus focusen motivator motiveren planning motivatie tool takenlijst strategieën inplannen gedragsverandering input werkomgeving mindset probleemoplossing feedback gemotiveerd evalueren tevredener behapbaar brainstorm to-dolijstje routine werkgeheugen optimaliseren switchen gefocust bias stressvol stressniveau mentaal cognitief presteren kahneman creatief effectief creativiteit stres effectiefst	behaviours/feelings;economy and work		behaviours / feelings;economy & work
29	136	ash puck toverkracht gnoom doorsteek kobold klauw magie klawen ijspegel hoven kronkelden feeën tussen mensenwereld troonzaal panne elfjes sterfelijk banneling haarbal enorms heks betovering waker griezelig angstaanjagend halfbloed slangachtig woud pluimstaart trol skeletachtig hekse doornstruiken schubben toverspreuk arcadia scepter draak kraaloog puntig klauwachtig dolk gevest sterveling opgloeiden schub sater roek	supernatural, fantasy and sci-fi		super., fantasy & sci-fi
30	133	gadverdamme kriebel 06-nummer bedussen ringtone pff grissen chalet fietssleutel broekzak stamel unheimisch pfff pliffen humen herpakken sander checken werktuigelijk gestommel angstzweet bekruipen wegwerpgebaar sorry schrikreactie autodeur creep chantal tetteren fronsrimpel appje ongecontroleerd gruwelen kontzak demonstratief ijskonijn terrasstoel sanne geroutineerd paniekerig vakantieliefde he-le-maal daan joh strandtent gadver luuk zweetdruppel achterovervallen deurklink	other	ik lees het zo: iemand heeft een ongeluk weten te vermijden en is daarna naar het strand gegaan	other
31	133	roebel ivanovitsj samowar iljitsj petersburg nikolaj pjotr vasili andrej aleksej fjodor gouvernement vadertje ivan poesjkin goedhartig marja jevgeni dorpsoud divan huzaar vorst koolsoep lacht tataars halfluid moskous voorhuis laagheid boerenvrouwen kindermeid purperrood gogol souperen goedhartigheid vorstin keukenmeid pommaderen pavel gymnasiast jalta dmitri sergej pandjesjas aleksandr michail boerenvrouw dronkelap kozak tsaar	geography and setting;culture		geography & setting;culture
32	130	onderduiker nsbter nsb’er verzetsmens sicherheitsdienst razzia verzetsman razziats persoonsbewijs verzetsgroep onderduikadres sd westerbork onderdeken vught oorlogsjaar onderduiken bezetter hongerwinter ondergedoken moff jodenster bezettingstijd spertijd nsb onderduikadre oorlogsdag polizei illegaliteit meidag verzetsstrijder duitser anti-duits concentratiekamp tewerkstelling fusilleren oorlogstijd hollandsche werkkamp doorgangskamp vaderlander jodenvervolging deportatie tewerhtellen ss’er werkkampen buchenwald deporteren knokploeg ravensbrück	war;history		war;history
33	130	letterkundig reve hermans carmiggelt haagse komrij nescio lucebert oorschot dichterschap schrijverschap vestdijk campert proza kousbroek elsschot vasalis revisor marsman oeuvre dichtbundel mulisch slauerhoff essayistisch bomans kloos essayist literatuurgeschiedenis poëzie querido maandblad gedicht typoscript letterkunde essaybundel literair bibliofiel briefwisseling literator schrijverij novelle avonden brouwers verzamelbundel romancier wolkers autobiografisch nijhoff polemist gorter	culture		culture
34	129	superlief pliffen glurten stamel appen doei superleuk pfff fietssleutel knikpen superblij wiebellen supergoed appje sjiken fietsenstalling grissen apppen scrillen tussenuur supermooi gister joh staar creepy tsss grinneken huh onwijs supercool fietsenhok brugklasser duh pff mwah omg schoolfeest galten balen giechelten gadver knipogen sluiven fleppen gadverdamme chill doorhefben ehm megagroot brugklas	behaviours/feelings;culture		behaviours / feelings;culture
35	128	rouwproce levenseinde rouwverwerking rouw euthanasie uitvaart nabestaand palliatief zelfdoding dementeren doodswens rouwen terminaal nabestaande verpleeghuis stervensproces zelfgekozen levensfase hospice gemis ziekteproces mantelzorger dementie zorgverlener verwerkingsproces rouwkaart ziekbed doorleven dement verzorgingshuis crematie invoelbaar mantelzorg sterfbed overleden thuiszorg suïcide ongeneeslijk hulpvraag uitzichtloos onmacht lotgenoot rouwadvertentie opbaarden ziek-zijn naast aftakeling hoogbejaard zorginstelling gespreksgroep	medicine/health	leven/dood	medicine / health
36	126	economisch kapitalisme markteconomie ongelijkheid mondiaal mondialisering neoliberalisme welvaart neoliberale herverdeling economie globaliseren accumulatie globalisering samenleving kapitalistisch econoom hulpbron wereldschaal vrijemarkteconomie institutie fundamenteel individuen levensstandaard betogen individu uitbuiting herverdelen democratieën economieen wereldeconomie vrijhandel utopisch regulering wijdverbreide technologisch overheidsbeleid vooruitgang inherent gelijkheid actor technocratisch collectief maatschappelijk institutionaliseren industrialiseren inperking tendens rationaliteit opkomst	society;politics;economy and work	ik zou het „maatschappij“ labelen, dan valt „economie“ er ook onder	society;politics;economy & work
37	124	ss-officier ssters ss’er getto auschwitz veewagon werkkamp treblinka gaskamer theresienstadt warschau nazi’s gestapo kampcommandant ss krakau bergen-belsen vernietigingskamp barak pools dachau dodenmar sachsenhausen werkkampen concentratiekamp ravensbrück slowaaks doorgangskamp vergasten mengele kampbewoner arisch deporteren endlösung voedselrantsoen polen kampleiding herr nazi ontluizen transport buchenwald deportatie veewagen kristallnacht gevangenenkamp kamp vergassen himmler fräulein	war;history;geography and setting		war;history;geography & setting
38	123	kabul taliban afghanen afghaans pakistaans ahmad saoedisch afghanistan pakistan sjiitisch soennitisch saoedi-arabië irakees abu iran jihadist iraans saudi-arabië jihad iraaks pakistaan koerdisch islamitisch omar arabisch jemen soenniet sjiiet teheran kalifaat farsi syrië karachi imam ayatollah bagdad qaida iraniërs moskee akbar syrisch abdul osama allah zelfmoordaanslag sharium irak aleppo boerka mohammad	geography and setting;religion, spirituality and philosophy		geography & setting;reli. / spirit. / phil.
39	121	maría calle andrés avenida manolo pablo garcía santiago pedro ramón vicente luis blanca césar eduardo señor miguel juan guardia enrique dios señora teresa alba cristina señorita marcos nacional julio vargas baskisch andalusisch catalaans alberto stierenvechter alejandro márquez félix madrid alfonso baskenland salvador sevilla valle josé madre manuel diego mexico-stad spaans	culture;geography and setting		culture;geography & setting
40	119	wèl honderdmaal zoëven mieter divan brilleglaas voorschijn eender eensklaps schrijfbureau halfluid zonderling gaarne benedenhuis ruggegraat aanstonds jongmens nikkelen lantaren zoldering dadelijk huisdeur overtoom bovenhuis autobus ontzaglijk sedertdien precieus insekt waarmede produkken lucifersdoosje aardigheid gummi elkander kleinigheid confidentie tramrail enfin denkelijk gedachtengang gelukken rijksdaalder goedig plachten tienmaal terstond tengevolge jeneverfles liefderijk	history	want de woorden klinken voor mij bestwel ouderwets en er zit ook een rijksdaalder tussen	history
41	119	doelwit satelliettelefoon cia-agent communicatieapparatuur headset commandocentrum nachtkijker satellietverbinding camouflagekleding geluiddemper radioverkeer telescoopvizier vuurgevecht safehouse satellietbeeld semiautomatisch 9mm cia helikopter onbemande beretta kogelwerend kogelvrij luchtmachtbasis beveiliging suvt kogelvrije nsa beveiligingsteam commandot raketwerper kevlar gulfstream caruso beveiligingsmens uzi satellietfotot straalvliegtuig radiocontact machinepistool granaatwerper veiligheidsmaatregel camouflagepak swat-team handvuurwapen dekking handwapen uitschakelen pentagon vuurkracht	war		war
42	118	congolees swahili oeganda congo nairobi kenia rwanda keniaans zaïre afrikaans zambia kongo addis zimbabwe ivoorkust kameroen nigeria malawi mangoboom afrika afrikanen tanzania afrikaan centraal-afrika mozambique ghana macheten nigeriaans liberia ethiopië oost-afrika regentijd senegal dorpsoudst senegalees soedan angola kindsoldaat ghanees mali somalië niger west-afrikaanse somalisch namibië eritrea ethiopiërs dorpshoofd regenseizoen soedanees	geography and setting		geography & setting
43	116	cabaretier goois avro rtl televisieprogramma bnters ncrv hilversums hazes vara programmamaker revu willeke stadsschouwburg nos witteman tv-programma kro koninginnedag songfestival telegraaf teletekst wim radioprogramma borsato televisie-uitzending kooten amsterdam-zuid omroep typet leidseplein lullen hilversum televisieoptreden lullig gekkigheid tv-presentator duo uitzending amsterdams talkshow schnabbel haags tv-uitzending aalsmeer tv-kijker oer-hollands achtuurjournaal ouwehoer amstelveen	culture	ik weet het niet over uitzendingen ook tot „arts“ kunnen behoren, want er zit bvb ook borsato tussen en die is eigenlijk al richting „arts“	culture
44	116	pro-deoadvocaat rechtszaal jury county jurylid getuigenbank strafpleiter gerechtsgebouw juryt rechtszalen eiser advocatenkantoor getuigenverklaring fbi-agent dagvaarding edelachtbaar lachtbaar ontoerekeningsvatbaarheid getuigenbankje kruisverhoor aanklager borgtocht tenlastelegging hoorzitting rechtszaak memphis fbi gedaagde slotpleidooi staatsgevangenis rechtbank aanhangig bewijsstuk dodencel mississippi dagvaarden getuige-deskundige cliënt dagvaren edelachtbare staatspolitie strafvermindering hulpsheriff procederen beëdigen strafrechtadvocaat griffier sheriff advocatuur bewijsmateriaal	crime		crime
45	114	frinzen neuh glurten grijns fleppen ugh sletterig pliffen fluiseren flippen knikpen kluisje staar katen aarzellen grinneken giechelpen grissen shit duh wauw easton onderbrijken stamel fronzen footballteam pissig oké cool nablijven klote lagen sputten cheerleader poren quarterback schrijuen strompel deinsen gadver footballspeler stoms spijbelen krimpen verpessen sneum superknap verkloten nepglimlach supersexy	behaviours/feelings;culture		behaviours / feelings;culture
46	113	heerseres alf dwerg wapenrusting schred maliënkolder trol krijger kobold kuras zwaardvechter kling elf zwaarden zwaardslag wambuis gevest schrede creatuur gooden centaur kruisboog zeeslang lans tovenares handbreedte geharnast kromzwaard dolk schede priesteres verspieder vestingmuur strijdster knots boogpees ridder harnas wachter ruan magister lemmeten mensenkind wezel metgezel rijdier onderaards slagzwaard zwartharig gnoom	supernatural, fantasy and sci-fi		super., fantasy & sci-fi
47	113	nederlanden provinciën staten-generaal stadhouder filips gewest nassau willem calvinist landvoogd margaretha dordrecht beeldenstorm bourgondië parma stadsbestuurder pacificatie westfalen hollands stadsbestuur tachtigjarig rijksmuseum iv rampjaar bourgondisch geuze edellieden xiv iii calvinistisch dertigjarige republiek delft zeeland edict ’s-hertogenbosch ii karels gewestelijk plakkaat gelderland landsbestuur rooms hessen witt bataafs paaps hertogdom brabant frederik	geography and setting;history		geography & setting;history
48	112	belegger kredietcrisis beurskoers kapitaalmarkt liquiditeit bancair pensioenfonds rendement dividend aandeelhouder beursgenoteerd spaarder aandeel aandelenkoers belegging schuldenlast aandelenmarkt effectenbeurs staatsobligatie obligatie derivaat aandelenbeurs aandelenkoer macro-economisch fiscaal toezichthouder investering bankencrisis marktwaarde rente sector beleggingsfonds looptijd faillissement spaartegoed activa nettowinst hausse verhandelbaar bankieren overname aandelenportefeuille amro recessie fed lening winst investeerder financiering krediet	society;economy and work;politics		society;economy & work;politics
49	110	verdraaid verdorie sexy allemachtig plagerig geamuseerd verleidelijk ondeugen onweerstaanbaar pretlichtje jake tikje katzwijm jeetje hm-m zelfvoldaan bezitterig vredesnaam hemelsnaam hoofdschudden schouderophalen sensueel niëten schaapachtig opwindend jeminee twinkeling grijnzen liefje stapelg haltertop rollebollen dolgraag lichtelijk ondeugend openvallen geplaag supersexy blos amuseren toewerpen verrukkelijk toewieren verdorien kreun vluggertje kreetje avontuurt uitschoppen flirterig	behaviours/feelings;romance and sex		behaviours / feelings;romance & sex
50	110	sovjettijd moskous moskou russisch kiev kremlin rusland ruslands oekraïens oekraïne tsaristisch leningrad datsja sovjetrepubliek pravda oktoberrevolutie ussr bolsjewiek sint-petersburg poetin russisch-orthodox stalin lenins aleksandr perestrojka jeltsin krim oekraïners lenin oekraïner sergej goelag siberië georgisch sovjet-unie wit-rusland minsk georgië rus tsjetsjenië michail gorki wit-russisch kaukasus sovjet politbureau oeral bolsjewistisch sovjetleger wolga	history;geography and setting		history;geography & setting
51	110	tanktop supersexy keukeneiland neuh flippen ugh paisley wauw shirt kreun boxershort jot sexy verkloten eikel borstkas sexyer shit spiertje jagger klote pissig lepeltje-lepel yogabroek cam pik fucking aanspanden kontzak stijve mijne joggingbroek kreuntje kont grom sletterig dij zoenen date onderlip borstspieren tintelen omlaagglijden onenightstand onderrug sprongetje natheid hartverzakking klaarken aanspan	romance and sex		romance & sex
52	109	l.a. thanksgiving dolblij hamptons bills carole hermès ritz vendôme sabrina connecticut lunchen californië praatten tahoe doorbrachten etentje cocktailpartyc dolgraag stapelg luxeleventje etent leventje krokodillenleer saint-tropez angeles dineren attent huwelijksreis kasjmier verheugden kerstmis filmster diepbedroefd dolgelukkig bill terugreden vrijden vineyard diepongelukkig aankon doodsbenauwd deprimeren thuiskemen popelen boffen zakendiner sprookjesprinses biechten volwassener	romance and sex		romance & sex
53	108	bedstee zierikzee schoonzuster petroleumstel verstelwerk boerin doktersvrouw neeltje wintertijd boerenwerk stamhouder karnen arbeidershuisje boerendochter manvolk bonne deftig antje dienstbode overschieten hakkelen suikerfabriek uitzet werkvolk hoef boerinnen nawezen borreltje kerktijd christenplicht boerenzoon handwerken gevweden deftigheid beredderen krentenbrood bovenmeester warempel armoe werkhand koffietijd marien vlas hoeve vetpot jonker opoe kraamvrouw huizenhoog toos	history;geography and setting		history;geography & setting
54	103	energetisch energieveld bewustzijnsniveau chakra’s blokkades spiritueel helingsproces chakra energiestroom vibratie sjamanistisch karmisch levensenergie visualiseren heling paranormaal buitenzintuiglijk verruimen helend bewustzijnstoestand manifesteren helderziendheid transformatieproces levenskracht healing visualisatie intuïtief bewustwording astraal incarneren gedachtepatronen negativiteit gidsen affirmatie heelheid geconditioneerd bewuster doorvoelen intentie synchroniciteit aurat essentie aura onderbewustzijn transformeren hier-en-nu onverwerkt openstellen sjamanisme ontvankelijk	religion, spirituality and philosophy		reli. / spirit. / phil.
55	101	beoefening mededogen gelijkmoedigheid boeddha boeddhistisch dharma geestestoestand gehechtheid beoefenen beoefen boeddha’s boeddhisme cultiveren meditatie meditatieoefening mediteren zenmeester opmerkzaamheid beoefenaar hier-en-nu meditatief mindful mindfulnes boeddhist meditatietechniek vriendelijkheid tibetaans voeling zenboeddhisme compassie aankweken sanskriet onderricht contemplatie transformeren realisatie nirwana waarworden contemplatief geesteshouding illusoir dalai thich helderheid zienswijs spiritueel diepgaand retraite lering nhat	religion, spirituality and philosophy		reli. / spirit. / phil.
